time,high,low,open,close
1613020500,44793.09,44714.26,44733.54,44752.93
1613020560,44789.47,44752.93,44752.93,44768.09
1613020620,44805.94,44767.94,44768.09,44805.71
1613020680,44819.07,44776.21,44805.71,44801.26
1613020740,44801.26,44775.4,44801.26,44777.38
1613020800,44785.14,44740.42,44777.38,44742.54
1613020860,44784.22,44742.54,44742.54,44755.65
1613020920,44755.65,44735.54,44755.65,44751.23
1613020980,44765.92,44749.05,44751.23,44761.15
1613021040,44774.27,44758.59,44761.15,44772.89
1613021100,44773.59,44751.71,44772.89,44773.14
1613021160,44814.38,44757.1,44773.14,44758.81
1613021220,44775.3,44672.72,44758.81,44680.29
1613021280,44695.38,44575.41,44680.29,44579.18
1613021340,44641.32,44579.03,44579.18,44636.78
1613021400,44637.04,44558.0,44636.78,44589.53
1613021460,44697.15,44589.53,44589.53,44684.15
1613021520,44684.15,44639.7,44684.15,44664.63
1613021520,44684.15,44639.7,44684.15,44664.63
1613021580,44716.05,44661.74,44664.63,44716.05
1613021640,44778.75,44716.05,44716.05,44765.56
1613021700,44831.89,44765.56,44765.56,44819.18
1613021760,44841.25,44815.61,44819.18,44835.89
1613021820,44839.35,44829.06,44835.89,44836.43
1613021880,44839.94,44795.3,44836.43,44829.06
1613021940,44829.61,44793.99,44829.06,44814.11
1613022000,44883.64,44814.11,44814.11,44882.28
1613022060,44884.4,44828.4,44882.28,44857.57
1613022120,44902.6,44831.17,44857.57,44902.56
1613022180,44950.59,44878.82,44902.56,44940.39
1613022240,44940.39,44874.64,44940.39,44877.52
1613022300,44877.97,44841.19,44877.52,44842.75
1613022360,44880.32,44841.32,44842.75,44880.32
1613022420,44880.43,44828.44,44880.32,44851.81
1613022480,44933.9,44851.81,44851.81,44932.3
1613022540,44934.08,44881.81,44932.3,44892.13
1613022600,44905.37,44829.14,44892.13,44829.14
1613022660,44858.25,44808.84,44829.14,44848.73
1613022720,44887.48,44837.37,44848.73,44841.09
1613022780,44851.92,44818.0,44841.09,44834.18
1613022840,44865.43,44828.28,44834.18,44863.96
1613022900,44863.96,44775.29,44863.96,44775.29
1613022960,44810.38,44765.62,44775.29,44786.76
1613023020,44789.57,44706.84,44786.76,44711.92
1613023080,44722.29,44689.48,44711.92,44689.77
1613023140,44710.07,44686.81,44689.77,44702.72
1613023200,44717.72,44690.12,44702.72,44704.32
1613023260,44723.47,44700.01,44704.32,44720.61
1613023320,44720.61,44698.57,44720.61,44712.65
1613023380,44714.9,44640.45,44712.65,44665.95
1613023440,44767.59,44665.95,44665.95,44741.3
1613023500,44791.9,44738.79,44741.3,44787.1
1613023560,44850.4,44777.65,44787.1,44836.12
1613023620,44854.9,44814.57,44836.12,44814.58
1613023680,44815.05,44724.47,44814.58,44733.25
1613023740,44798.96,44733.08,44733.25,44798.96
